,Graph,Adjacency_list,a,d,APG_label_availability,Vertex_labels,Edge_labels,Gurobi_runtime
72,Graph with 7 nodes and 7 edges,"[[0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 0, 1], [0, 0, 1, 1, 0, 0, 1], [1, 0, 0, 0, 1, 1, 0]]",3.0,9.0,Y,"{0: 21, 1: 3, 2: 30, 3: 12, 4: 39, 5: 57, 6: 48}","{(0, 4): 12, (0, 6): 9, (1, 4): 3, (2, 5): 30, (3, 5): 12, (4, 6): 24, (5, 6): 15}",1621.9999999975698
345,Graph with 7 nodes and 9 edges,"[[0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0, 0], [1, 0, 1, 1, 1, 0, 0]]",2.0,4.0,Y,"{0: 26, 1: 10, 2: 6, 3: 2, 4: 14, 5: 18, 6: 22}","{(0, 3): 1, (0, 5): 11, (0, 6): 14, (1, 4): 8, (1, 5): 2, (2, 5): 5, (2, 6): 1, (3, 6): 1, (4, 6): 6}",1652.0000000070922
94,Graph with 7 nodes and 9 edges,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 0, 0], [1, 0, 1, 1, 1, 0, 0]]",3.0,4.0,Y,"{0: 11, 1: 7, 2: 19, 3: 3, 4: 27, 5: 15, 6: 23}","{(0, 4): 7, (0, 5): 1, (0, 6): 2, (1, 4): 7, (2, 5): 13, (2, 6): 6, (3, 5): 1, (3, 6): 2, (4, 6): 12}",1337.000000006583
1171,Graph with 7 nodes and 15 edges,"[[0, 0, 1, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1, 1], [1, 0, 0, 0, 1, 1, 1], [0, 1, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 1, 1], [1, 1, 1, 0, 1, 0, 1], [1, 1, 1, 1, 1, 1, 0]]",4.0,6.0,Y,"{0: 4, 1: 16, 2: 10, 3: 22, 4: 28, 5: 34, 6: 40}","{(0, 2): 1, (0, 4): 1, (0, 5): 1, (0, 6): 1, (1, 3): 6, (1, 4): 1, (1, 5): 1, (1, 6): 8, (2, 4): 1, (2, 5): 1, (2, 6): 7, (3, 6): 16, (4, 5): 24, (4, 6): 1, (5, 6): 7}",1406.9999999719585
360,Graph with 7 nodes and 9 edges,"[[0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0, 0], [1, 0, 1, 1, 1, 0, 0]]",4.0,1.0,Y,"{0: 10, 1: 7, 2: 5, 3: 8, 4: 6, 5: 4, 6: 9}","{(0, 3): 6, (0, 5): 1, (0, 6): 2, (1, 4): 5, (1, 5): 2, (2, 5): 1, (2, 6): 4, (3, 6): 1, (4, 6): 1}",979.0000000009513
687,Graph with 7 nodes and 12 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 1, 1, 1], [1, 1, 0, 1, 0, 0, 1], [1, 1, 0, 1, 0, 0, 0], [1, 1, 1, 1, 1, 0, 0]]",2.0,6.0,Y,"{0: 8, 1: 38, 2: 2, 3: 26, 4: 14, 5: 20, 6: 32}","{(0, 3): 5, (0, 4): 1, (0, 5): 1, (0, 6): 1, (1, 4): 11, (1, 5): 18, (1, 6): 9, (2, 6): 2, (3, 4): 1, (3, 5): 1, (3, 6): 19, (4, 6): 1}",1303.0000000071595
1208,Graph with 7 nodes and 17 edges,"[[0, 0, 1, 1, 1, 1, 1], [0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 1, 1, 1, 1], [1, 0, 1, 0, 1, 1, 1], [1, 0, 1, 1, 0, 1, 1], [1, 1, 1, 1, 1, 0, 1], [1, 1, 1, 1, 1, 1, 0]]",4.0,1.0,Y,"{0: 5, 1: 4, 2: 10, 3: 9, 4: 7, 5: 8, 6: 6}","{(0, 2): 1, (0, 3): 1, (0, 4): 1, (0, 5): 1, (0, 6): 1, (1, 5): 3, (1, 6): 1, (2, 3): 4, (2, 4): 2, (2, 5): 1, (2, 6): 1, (3, 4): 1, (3, 5): 1, (3, 6): 1, (4, 5): 1, (4, 6): 1, (5, 6): 1}",1161.9999999652464
1079,Graph with 7 nodes and 11 edges,"[[0, 0, 1, 0, 1, 1, 1], [0, 0, 0, 1, 0, 1, 1], [1, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 1, 1], [1, 0, 1, 0, 0, 0, 0], [1, 1, 0, 1, 0, 0, 1], [1, 1, 0, 1, 0, 1, 0]]",3.0,2.0,Y,"{0: 15, 1: 7, 2: 3, 3: 5, 4: 9, 5: 11, 6: 13}","{(0, 2): 1, (0, 4): 7, (0, 5): 1, (0, 6): 5, (1, 3): 3, (1, 5): 3, (1, 6): 1, (2, 4): 2, (3, 5): 1, (3, 6): 1, (5, 6): 5}",1831.9999999789616
832,Graph with 7 nodes and 14 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 1, 1, 1], [1, 1, 1, 1, 0, 0, 1], [1, 1, 1, 1, 0, 0, 0], [1, 1, 1, 1, 1, 0, 0]]",4.0,7.0,Y,"{0: 4, 1: 25, 2: 18, 3: 32, 4: 39, 5: 11, 6: 46}","{(0, 3): 1, (0, 4): 1, (0, 5): 1, (0, 6): 1, (1, 4): 5, (1, 5): 1, (1, 6): 18, (2, 4): 1, (2, 5): 1, (2, 6): 16, (3, 4): 22, (3, 5): 8, (3, 6): 1, (4, 6): 9}",1078.9999999474276
1085,Graph with 7 nodes and 11 edges,"[[0, 0, 1, 0, 1, 1, 1], [0, 0, 0, 1, 0, 1, 1], [1, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 1, 1], [1, 0, 1, 0, 0, 0, 0], [1, 1, 0, 1, 0, 0, 1], [1, 1, 0, 1, 0, 1, 0]]",3.0,8.0,Y,"{0: 51, 1: 19, 2: 3, 3: 11, 4: 27, 5: 35, 6: 43}","{(0, 2): 1, (0, 4): 25, (0, 5): 4, (0, 6): 20, (1, 3): 1, (1, 5): 17, (1, 6): 1, (2, 4): 2, (3, 5): 1, (3, 6): 9, (5, 6): 12}",1518.9999999734027
44,Graph with 7 nodes and 9 edges,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1, 1], [1, 1, 1, 0, 1, 0, 0], [1, 1, 0, 1, 1, 0, 0]]",3.0,7.0,Y,"{0: 10, 1: 24, 2: 31, 3: 3, 4: 17, 5: 45, 6: 38}","{(0, 4): 1, (0, 5): 1, (0, 6): 8, (1, 5): 12, (1, 6): 12, (2, 5): 31, (3, 6): 3, (4, 5): 1, (4, 6): 15}",1456.9999999878291
1213,Graph with 7 nodes and 17 edges,"[[0, 0, 1, 1, 1, 1, 1], [0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 1, 1, 1, 1], [1, 0, 1, 0, 1, 1, 1], [1, 0, 1, 1, 0, 1, 1], [1, 1, 1, 1, 1, 0, 1], [1, 1, 1, 1, 1, 1, 0]]",4.0,6.0,Y,"{0: 10, 1: 4, 2: 40, 3: 28, 4: 16, 5: 22, 6: 34}","{(0, 2): 1, (0, 3): 6, (0, 4): 1, (0, 5): 1, (0, 6): 1, (1, 5): 1, (1, 6): 3, (2, 3): 1, (2, 4): 1, (2, 5): 17, (2, 6): 20, (3, 4): 12, (3, 5): 1, (3, 6): 8, (4, 5): 1, (4, 6): 1, (5, 6): 1}",1087.9999999815482
161,Graph with 7 nodes and 10 edges,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 1, 0], [1, 1, 1, 0, 0, 0, 1], [1, 1, 0, 1, 0, 0, 0], [1, 1, 1, 0, 1, 0, 0]]",4.0,8.0,Y,"{0: 12, 1: 4, 2: 36, 3: 44, 4: 28, 5: 52, 6: 20}","{(0, 4): 5, (0, 5): 6, (0, 6): 1, (1, 4): 1, (1, 5): 2, (1, 6): 1, (2, 4): 20, (2, 6): 16, (3, 5): 44, (4, 6): 2}",608.9999999971951
311,Graph with 7 nodes and 9 edges,"[[0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 1], [1, 1, 1, 1, 0, 1, 0]]",4.0,6.0,Y,"{0: 16, 1: 40, 2: 4, 3: 22, 4: 28, 5: 10, 6: 34}","{(0, 3): 6, (0, 5): 6, (0, 6): 4, (1, 4): 28, (1, 6): 12, (2, 5): 3, (2, 6): 1, (3, 6): 16, (5, 6): 1}",1271.0000000026866
390,Graph with 7 nodes and 10 edges,"[[0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 1, 0], [0, 1, 0, 0, 0, 0, 1], [1, 1, 1, 1, 0, 0, 0], [1, 1, 1, 0, 1, 0, 0]]",4.0,4.0,Y,"{0: 20, 1: 16, 2: 12, 3: 4, 4: 8, 5: 28, 6: 24}","{(0, 3): 3, (0, 5): 5, (0, 6): 12, (1, 4): 1, (1, 5): 13, (1, 6): 2, (2, 5): 9, (2, 6): 3, (3, 5): 1, (4, 6): 7}",550.0000000040473
710,Graph with 7 nodes and 14 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 1, 1, 1], [1, 1, 0, 1, 0, 1, 1], [1, 1, 0, 1, 1, 0, 1], [1, 1, 1, 1, 1, 1, 0]]",2.0,2.0,Y,"{0: 6, 1: 4, 2: 2, 3: 8, 4: 12, 5: 10, 6: 14}","{(0, 3): 1, (0, 4): 1, (0, 5): 3, (0, 6): 1, (1, 4): 1, (1, 5): 1, (1, 6): 2, (2, 6): 2, (3, 4): 5, (3, 5): 1, (3, 6): 1, (4, 5): 1, (4, 6): 4, (5, 6): 4}",1486.9999999973516
872,Graph with 7 nodes and 12 edges,"[[0, 0, 0, 1, 1, 0, 0], [0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 1, 1, 1], [1, 1, 0, 0, 0, 1, 1], [1, 0, 1, 0, 0, 1, 1], [0, 1, 1, 1, 1, 0, 0], [0, 1, 1, 1, 1, 0, 0]]",3.0,2.0,Y,"{0: 13, 1: 11, 2: 3, 3: 15, 4: 9, 5: 7, 6: 5}","{(0, 3): 7, (0, 4): 5, (1, 3): 5, (1, 5): 4, (1, 6): 1, (2, 4): 1, (2, 5): 1, (2, 6): 1, (3, 5): 1, (3, 6): 1, (4, 5): 1, (4, 6): 1}",1270.999999974265
131,Graph with 7 nodes and 9 edges,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0, 0], [1, 0, 1, 1, 1, 0, 0]]",4.0,5.0,Y,"{0: 4, 1: 14, 2: 19, 3: 24, 4: 9, 5: 29, 6: 34}","{(0, 4): 1, (0, 5): 1, (0, 6): 2, (1, 4): 2, (1, 5): 11, (2, 5): 16, (2, 6): 2, (3, 6): 24, (4, 6): 5}",3161.0000000057425
647,Graph with 7 nodes and 13 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1, 1], [1, 1, 1, 1, 1, 0, 0], [1, 1, 1, 1, 1, 0, 0]]",4.0,2.0,Y,"{0: 16, 1: 4, 2: 10, 3: 14, 4: 6, 5: 12, 6: 8}","{(0, 3): 11, (0, 4): 2, (0, 5): 2, (0, 6): 1, (1, 4): 2, (1, 5): 1, (1, 6): 1, (2, 5): 6, (2, 6): 4, (3, 5): 2, (3, 6): 1, (4, 5): 1, (4, 6): 1}",831.0000000051332
1063,Graph with 7 nodes and 10 edges,"[[0, 0, 1, 0, 1, 0, 1], [0, 0, 0, 1, 0, 1, 1], [1, 0, 0, 0, 1, 0, 1], [0, 1, 0, 0, 0, 1, 0], [1, 0, 1, 0, 0, 0, 1], [0, 1, 0, 1, 0, 0, 0], [1, 1, 1, 0, 1, 0, 0]]",4.0,4.0,Y,"{0: 4, 1: 28, 2: 24, 3: 20, 4: 12, 5: 8, 6: 16}","{(0, 2): 2, (0, 4): 1, (0, 6): 1, (1, 3): 19, (1, 5): 7, (1, 6): 2, (2, 4): 10, (2, 6): 12, (3, 5): 1, (4, 6): 1}",1532.9999999948996
1112,Graph with 7 nodes and 14 edges,"[[0, 0, 1, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1, 0], [1, 0, 0, 0, 1, 1, 1], [0, 1, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 1, 1], [1, 1, 1, 0, 1, 0, 1], [1, 0, 1, 1, 1, 1, 0]]",3.0,8.0,Y,"{0: 11, 1: 3, 2: 51, 3: 35, 4: 27, 5: 19, 6: 43}","{(0, 2): 8, (0, 4): 1, (0, 5): 1, (0, 6): 1, (1, 3): 1, (1, 4): 1, (1, 5): 1, (2, 4): 23, (2, 5): 14, (2, 6): 5, (3, 6): 34, (4, 5): 1, (4, 6): 1, (5, 6): 1}",1672.999999982494
767,Graph with 7 nodes and 12 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1, 0], [1, 0, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0, 1], [1, 1, 0, 1, 1, 1, 0]]",2.0,5.0,Y,"{0: 7, 1: 32, 2: 2, 3: 17, 4: 12, 5: 22, 6: 27}","{(0, 3): 1, (0, 4): 1, (0, 5): 1, (0, 6): 4, (1, 4): 9, (1, 5): 18, (1, 6): 4, (2, 4): 1, (2, 5): 1, (3, 6): 16, (4, 6): 1, (5, 6): 1}",1071.000000024469
55,Graph with 7 nodes and 7 edges,"[[0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 0, 1], [0, 0, 1, 1, 0, 0, 1], [1, 0, 0, 0, 1, 1, 0]]",2.0,1.0,Y,"{0: 4, 1: 3, 2: 2, 3: 5, 4: 7, 5: 8, 6: 6}","{(0, 4): 1, (0, 6): 2, (1, 4): 3, (2, 5): 2, (3, 5): 5, (4, 6): 2, (5, 6): 1}",1393.000000007305
927,Graph with 7 nodes and 14 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 1, 1, 1], [1, 1, 0, 0, 1, 0, 1], [1, 0, 1, 1, 0, 0, 1], [1, 1, 1, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 0]]",3.0,3.0,Y,"{0: 6, 1: 3, 2: 21, 3: 12, 4: 15, 5: 9, 6: 18}","{(0, 3): 3, (0, 4): 1, (0, 5): 1, (0, 6): 1, (1, 3): 1, (1, 5): 1, (1, 6): 1, (2, 4): 6, (2, 5): 4, (2, 6): 11, (3, 4): 7, (3, 6): 1, (4, 6): 1, (5, 6): 3}",1626.999999984946
921,Graph with 7 nodes and 12 edges,"[[0, 0, 0, 1, 1, 1, 0], [0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 1, 1, 1], [1, 1, 0, 0, 1, 0, 1], [1, 0, 1, 1, 0, 0, 1], [1, 1, 1, 0, 0, 0, 0], [0, 1, 1, 1, 1, 0, 0]]",4.0,6.0,Y,"{0: 4, 1: 28, 2: 40, 3: 10, 4: 22, 5: 34, 6: 16}","{(0, 3): 1, (0, 4): 2, (0, 5): 1, (1, 3): 5, (1, 5): 22, (1, 6): 1, (2, 4): 16, (2, 5): 11, (2, 6): 13, (3, 4): 3, (3, 6): 1, (4, 6): 1}",629.0000000035434
613,Graph with 7 nodes and 10 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 0, 0], [1, 1, 1, 0, 0, 0, 0], [1, 1, 1, 1, 0, 0, 0]]",3.0,4.0,Y,"{0: 27, 1: 19, 2: 3, 3: 11, 4: 15, 5: 7, 6: 23}","{(0, 3): 7, (0, 4): 1, (0, 5): 1, (0, 6): 17, (1, 4): 14, (1, 5): 4, (1, 6): 1, (2, 5): 2, (2, 6): 1, (3, 6): 3}",2016.9999999666288
135,Graph with 7 nodes and 9 edges,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0, 0], [1, 0, 1, 1, 1, 0, 0]]",4.0,9.0,Y,"{0: 58, 1: 13, 2: 22, 3: 4, 4: 40, 5: 31, 6: 49}","{(0, 4): 16, (0, 5): 9, (0, 6): 32, (1, 4): 12, (1, 5): 1, (2, 5): 21, (2, 6): 1, (3, 6): 4, (4, 6): 11}",6585.000000001173
1221,Graph with 7 nodes and 15 edges,"[[0, 0, 1, 1, 1, 1, 1], [0, 0, 0, 1, 1, 1, 1], [1, 0, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 1, 1], [1, 1, 1, 0, 0, 1, 1], [1, 1, 0, 1, 1, 0, 0], [1, 1, 1, 1, 1, 0, 0]]",3.0,5.0,Y,"{0: 8, 1: 33, 2: 3, 3: 23, 4: 13, 5: 18, 6: 28}","{(0, 2): 1, (0, 3): 1, (0, 4): 1, (0, 5): 1, (0, 6): 4, (1, 3): 12, (1, 4): 1, (1, 5): 7, (1, 6): 13, (2, 4): 1, (2, 6): 1, (3, 5): 9, (3, 6): 1, (4, 5): 1, (4, 6): 9}",1111.9999999777974
503,Graph with 7 nodes and 11 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 1, 1, 1], [1, 0, 0, 1, 0, 1, 1], [1, 0, 0, 1, 1, 0, 0], [1, 1, 1, 1, 1, 0, 0]]",2.0,9.0,Y,"{0: 11, 1: 2, 2: 47, 3: 29, 4: 38, 5: 20, 6: 56}","{(0, 3): 1, (0, 4): 8, (0, 5): 1, (0, 6): 1, (1, 6): 2, (2, 6): 47, (3, 4): 16, (3, 5): 10, (3, 6): 1, (4, 5): 8, (4, 6): 5}",1402.9999999820575
692,Graph with 7 nodes and 12 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 1, 1, 1], [1, 1, 0, 1, 0, 0, 1], [1, 1, 0, 1, 0, 0, 0], [1, 1, 1, 1, 1, 0, 0]]",3.0,2.0,Y,"{0: 5, 1: 3, 2: 11, 3: 13, 4: 9, 5: 7, 6: 15}","{(0, 3): 1, (0, 4): 1, (0, 5): 1, (0, 6): 1, (1, 4): 1, (1, 5): 1, (1, 6): 1, (2, 6): 11, (3, 4): 5, (3, 5): 5, (3, 6): 1, (4, 6): 1}",1282.000000003336
496,Graph with 7 nodes and 11 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 1, 1, 1], [1, 0, 0, 1, 0, 1, 1], [1, 0, 0, 1, 1, 0, 0], [1, 1, 1, 1, 1, 0, 0]]",2.0,2.0,Y,"{0: 4, 1: 2, 2: 8, 3: 10, 4: 12, 5: 6, 6: 14}","{(0, 3): 1, (0, 4): 1, (0, 5): 1, (0, 6): 1, (1, 6): 2, (2, 6): 8, (3, 4): 6, (3, 5): 1, (3, 6): 2, (4, 5): 4, (4, 6): 1}",1410.0000000212276
