,Graph,Adjacency_list,a,d,APG_label_availability,Edge weights
51,Graph with 5 nodes and 5 edges,"[[0, 0, 0, 1, 1], [0, 0, 0, 1, 1], [0, 0, 0, 0, 1], [1, 1, 0, 0, 0], [1, 1, 1, 0, 0]]",4.0,2.0,Y,"{(0, 3): 7, (0, 4): 3, (1, 3): 1, (1, 4): 5, (2, 4): 4}"
164,Graph with 5 nodes and 6 edges,"[[0, 0, 1, 1, 1], [0, 0, 0, 0, 1], [1, 0, 0, 1, 1], [1, 0, 1, 0, 0], [1, 1, 1, 0, 0]]",2.0,3.0,Y,"{(0, 2): 1, (0, 3): 3, (0, 4): 1, (1, 4): 2, (2, 3): 5, (2, 4): 8}"
380,Graph with 5 nodes and 9 edges,"[[0, 0, 1, 1, 1], [0, 0, 1, 1, 1], [1, 1, 0, 1, 1], [1, 1, 1, 0, 1], [1, 1, 1, 1, 0]]",4.0,3.0,Y,"{(0, 2): 6, (0, 3): 1, (0, 4): 3, (1, 2): 1, (1, 3): 2, (1, 4): 1, (2, 3): 8, (2, 4): 1, (3, 4): 2}"
299,Graph with 5 nodes and 8 edges,"[[0, 0, 1, 1, 1], [0, 0, 0, 1, 1], [1, 0, 0, 1, 1], [1, 1, 1, 0, 1], [1, 1, 1, 1, 0]]",2.0,3.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 3, (1, 3): 1, (1, 4): 1, (2, 3): 6, (2, 4): 1, (3, 4): 6}"
9,Graph with 5 nodes and 5 edges,"[[0, 0, 0, 1, 1], [0, 0, 0, 0, 1], [0, 0, 0, 0, 1], [1, 0, 0, 0, 1], [1, 1, 1, 1, 0]]",2.0,9.0,Y,"{(0, 3): 12, (0, 4): 17, (1, 4): 11, (2, 4): 2, (3, 4): 8}"
14,Graph with 5 nodes and 5 edges,"[[0, 0, 0, 1, 1], [0, 0, 0, 0, 1], [0, 0, 0, 0, 1], [1, 0, 0, 0, 1], [1, 1, 1, 1, 0]]",3.0,7.0,Y,"{(0, 3): 11, (0, 4): 12, (1, 4): 10, (2, 4): 3, (3, 4): 5}"
336,Graph with 5 nodes and 7 edges,"[[0, 0, 1, 1, 1], [0, 0, 1, 1, 1], [1, 1, 0, 0, 1], [1, 1, 0, 0, 0], [1, 1, 1, 0, 0]]",3.0,4.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 2): 8, (1, 3): 6, (1, 4): 4, (2, 4): 5}"
256,Graph with 5 nodes and 6 edges,"[[0, 0, 1, 1, 1], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [1, 1, 0, 0, 0], [1, 1, 1, 0, 0]]",3.0,5.0,Y,"{(0, 2): 11, (0, 3): 6, (0, 4): 5, (1, 3): 2, (1, 4): 1, (2, 4): 6}"
395,Graph with 5 nodes and 10 edges,"[[0, 1, 1, 1, 1], [1, 0, 1, 1, 1], [1, 1, 0, 1, 1], [1, 1, 1, 0, 1], [1, 1, 1, 1, 0]]",4.0,9.0,Y,"{(0, 1): 1, (0, 2): 1, (0, 3): 6, (0, 4): 5, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 3): 23, (2, 4): 15, (3, 4): 1}"
295,Graph with 5 nodes and 7 edges,"[[0, 0, 1, 1, 1], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [1, 1, 0, 0, 1], [1, 1, 1, 1, 0]]",4.0,8.0,Y,"{(0, 2): 11, (0, 3): 8, (0, 4): 1, (1, 3): 27, (1, 4): 1, (2, 4): 1, (3, 4): 1}"
151,Graph with 5 nodes and 6 edges,"[[0, 0, 1, 0, 1], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [0, 1, 0, 0, 1], [1, 1, 1, 1, 0]]",3.0,8.0,Y,"{(0, 2): 1, (0, 4): 2, (1, 3): 11, (1, 4): 7, (2, 4): 10, (3, 4): 15}"
142,Graph with 5 nodes and 6 edges,"[[0, 0, 1, 0, 1], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [0, 1, 0, 0, 1], [1, 1, 1, 1, 0]]",2.0,8.0,Y,"{(0, 2): 10, (0, 4): 16, (1, 3): 1, (1, 4): 9, (2, 4): 8, (3, 4): 1}"
72,Graph with 5 nodes and 6 edges,"[[0, 0, 0, 1, 1], [0, 0, 0, 1, 1], [0, 0, 0, 0, 1], [1, 1, 0, 0, 1], [1, 1, 1, 1, 0]]",4.0,5.0,Y,"{(0, 3): 10, (0, 4): 9, (1, 3): 1, (1, 4): 8, (2, 4): 4, (3, 4): 3}"
360,Graph with 5 nodes and 8 edges,"[[0, 0, 1, 1, 1], [0, 0, 1, 1, 1], [1, 1, 0, 0, 1], [1, 1, 0, 0, 1], [1, 1, 1, 1, 0]]",4.0,1.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 2, (1, 2): 5, (1, 3): 2, (1, 4): 1, (2, 4): 1, (3, 4): 2}"
255,Graph with 5 nodes and 6 edges,"[[0, 0, 1, 1, 1], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [1, 1, 0, 0, 0], [1, 1, 1, 0, 0]]",3.0,4.0,Y,"{(0, 2): 1, (0, 3): 9, (0, 4): 4, (1, 3): 10, (1, 4): 1, (2, 4): 1}"
224,Graph with 5 nodes and 5 edges,"[[0, 0, 1, 1, 0], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [1, 1, 0, 0, 0], [0, 1, 1, 0, 0]]",2.0,9.0,Y,"{(0, 2): 19, (0, 3): 10, (1, 3): 1, (1, 4): 1, (2, 4): 19}"
203,Graph with 5 nodes and 7 edges,"[[0, 0, 1, 1, 1], [0, 0, 0, 0, 1], [1, 0, 0, 1, 1], [1, 0, 1, 0, 1], [1, 1, 1, 1, 0]]",3.0,6.0,Y,"{(0, 2): 14, (0, 3): 8, (0, 4): 4, (1, 4): 3, (2, 3): 5, (2, 4): 1, (3, 4): 1}"
238,Graph with 5 nodes and 5 edges,"[[0, 0, 1, 1, 0], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [1, 1, 0, 0, 0], [0, 1, 1, 0, 0]]",4.0,5.0,Y,"{(0, 2): 2, (0, 3): 2, (1, 3): 17, (1, 4): 7, (2, 4): 7}"
182,Graph with 5 nodes and 6 edges,"[[0, 0, 1, 1, 1], [0, 0, 0, 0, 1], [1, 0, 0, 1, 1], [1, 0, 1, 0, 0], [1, 1, 1, 0, 0]]",4.0,3.0,Y,"{(0, 2): 2, (0, 3): 1, (0, 4): 1, (1, 4): 10, (2, 3): 6, (2, 4): 5}"
17,Graph with 5 nodes and 5 edges,"[[0, 0, 0, 1, 1], [0, 0, 0, 0, 1], [0, 0, 0, 0, 1], [1, 0, 0, 0, 1], [1, 1, 1, 1, 0]]",4.0,3.0,Y,"{(0, 3): 9, (0, 4): 1, (1, 4): 7, (2, 4): 4, (3, 4): 4}"
79,Graph with 5 nodes and 6 edges,"[[0, 0, 0, 1, 1], [0, 0, 0, 1, 1], [0, 0, 0, 1, 1], [1, 1, 1, 0, 0], [1, 1, 1, 0, 0]]",4.0,2.0,Y,"{(0, 3): 1, (0, 4): 3, (1, 3): 6, (1, 4): 4, (2, 3): 5, (2, 4): 1}"
291,Graph with 5 nodes and 7 edges,"[[0, 0, 1, 1, 1], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [1, 1, 0, 0, 1], [1, 1, 1, 1, 0]]",4.0,4.0,Y,"{(0, 2): 1, (0, 3): 2, (0, 4): 1, (1, 3): 15, (1, 4): 1, (2, 4): 7, (3, 4): 3}"
278,Graph with 5 nodes and 7 edges,"[[0, 0, 1, 1, 1], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [1, 1, 0, 0, 1], [1, 1, 1, 1, 0]]",2.0,9.0,Y,"{(0, 2): 1, (0, 3): 19, (0, 4): 9, (1, 3): 10, (1, 4): 1, (2, 4): 1, (3, 4): 9}"
157,Graph with 5 nodes and 6 edges,"[[0, 0, 1, 0, 1], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [0, 1, 0, 0, 1], [1, 1, 1, 1, 0]]",4.0,5.0,Y,"{(0, 2): 3, (0, 4): 1, (1, 3): 18, (1, 4): 6, (2, 4): 6, (3, 4): 1}"
158,Graph with 5 nodes and 6 edges,"[[0, 0, 1, 0, 1], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [0, 1, 0, 0, 1], [1, 1, 1, 1, 0]]",4.0,6.0,Y,"{(0, 2): 3, (0, 4): 1, (1, 3): 21, (1, 4): 7, (2, 4): 7, (3, 4): 1}"
337,Graph with 5 nodes and 7 edges,"[[0, 0, 1, 1, 1], [0, 0, 1, 1, 1], [1, 1, 0, 0, 1], [1, 1, 0, 0, 0], [1, 1, 1, 0, 0]]",3.0,5.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 2): 10, (1, 3): 7, (1, 4): 5, (2, 4): 6}"
326,Graph with 5 nodes and 7 edges,"[[0, 0, 1, 1, 1], [0, 0, 1, 1, 1], [1, 1, 0, 0, 1], [1, 1, 0, 0, 0], [1, 1, 1, 0, 0]]",2.0,3.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 3, (1, 2): 6, (1, 3): 1, (1, 4): 1, (2, 4): 7}"
62,Graph with 5 nodes and 6 edges,"[[0, 0, 0, 1, 1], [0, 0, 0, 1, 1], [0, 0, 0, 0, 1], [1, 1, 0, 0, 1], [1, 1, 1, 1, 0]]",3.0,3.0,Y,"{(0, 3): 8, (0, 4): 1, (1, 3): 2, (1, 4): 3, (2, 4): 3, (3, 4): 4}"
12,Graph with 5 nodes and 5 edges,"[[0, 0, 0, 1, 1], [0, 0, 0, 0, 1], [0, 0, 0, 0, 1], [1, 0, 0, 0, 1], [1, 1, 1, 1, 0]]",3.0,5.0,Y,"{(0, 3): 9, (0, 4): 8, (1, 4): 8, (2, 4): 3, (3, 4): 3}"
284,Graph with 5 nodes and 7 edges,"[[0, 0, 1, 1, 1], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [1, 1, 0, 0, 1], [1, 1, 1, 1, 0]]",3.0,6.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 3): 8, (1, 4): 6, (2, 4): 8, (3, 4): 11}"
115,Graph with 5 nodes and 5 edges,"[[0, 0, 1, 0, 1], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [0, 1, 0, 0, 0], [1, 1, 1, 0, 0]]",2.0,8.0,Y,"{(0, 2): 1, (0, 4): 1, (1, 3): 26, (1, 4): 8, (2, 4): 9}"
356,Graph with 5 nodes and 8 edges,"[[0, 0, 1, 1, 1], [0, 0, 1, 1, 1], [1, 1, 0, 0, 1], [1, 1, 0, 0, 1], [1, 1, 1, 1, 0]]",3.0,6.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 2): 19, (1, 3): 1, (1, 4): 6, (2, 4): 1, (3, 4): 6}"
240,Graph with 5 nodes and 5 edges,"[[0, 0, 1, 1, 0], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [1, 1, 0, 0, 0], [0, 1, 1, 0, 0]]",4.0,7.0,Y,"{(0, 2): 2, (0, 3): 2, (1, 3): 23, (1, 4): 9, (2, 4): 9}"
229,Graph with 5 nodes and 5 edges,"[[0, 0, 1, 1, 0], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [1, 1, 0, 0, 0], [0, 1, 1, 0, 0]]",3.0,5.0,Y,"{(0, 2): 1, (0, 3): 1, (1, 3): 16, (1, 4): 6, (2, 4): 6}"
221,Graph with 5 nodes and 5 edges,"[[0, 0, 1, 1, 0], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [1, 1, 0, 0, 0], [0, 1, 1, 0, 0]]",2.0,6.0,Y,"{(0, 2): 13, (0, 3): 7, (1, 3): 1, (1, 4): 1, (2, 4): 13}"
313,Graph with 5 nodes and 8 edges,"[[0, 0, 1, 1, 1], [0, 0, 0, 1, 1], [1, 0, 0, 1, 1], [1, 1, 1, 0, 1], [1, 1, 1, 1, 0]]",3.0,8.0,Y,"{(0, 2): 1, (0, 3): 8, (0, 4): 9, (1, 3): 2, (1, 4): 1, (2, 3): 9, (2, 4): 1, (3, 4): 15}"
340,Graph with 5 nodes and 7 edges,"[[0, 0, 1, 1, 1], [0, 0, 1, 1, 1], [1, 1, 0, 0, 1], [1, 1, 0, 0, 0], [1, 1, 1, 0, 0]]",3.0,8.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 2): 16, (1, 3): 10, (1, 4): 8, (2, 4): 9}"
334,Graph with 5 nodes and 7 edges,"[[0, 0, 1, 1, 1], [0, 0, 1, 1, 1], [1, 1, 0, 0, 1], [1, 1, 0, 0, 0], [1, 1, 1, 0, 0]]",3.0,2.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 2): 4, (1, 3): 4, (1, 4): 2, (2, 4): 3}"
227,Graph with 5 nodes and 5 edges,"[[0, 0, 1, 1, 0], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [1, 1, 0, 0, 0], [0, 1, 1, 0, 0]]",3.0,3.0,Y,"{(0, 2): 1, (0, 3): 1, (1, 3): 10, (1, 4): 4, (2, 4): 4}"
145,Graph with 5 nodes and 6 edges,"[[0, 0, 1, 0, 1], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [0, 1, 0, 0, 1], [1, 1, 1, 1, 0]]",3.0,2.0,Y,"{(0, 2): 1, (0, 4): 2, (1, 3): 5, (1, 4): 1, (2, 4): 4, (3, 4): 3}"
319,Graph with 5 nodes and 8 edges,"[[0, 0, 1, 1, 1], [0, 0, 0, 1, 1], [1, 0, 0, 1, 1], [1, 1, 1, 0, 1], [1, 1, 1, 1, 0]]",4.0,5.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 2, (1, 3): 18, (1, 4): 1, (2, 3): 1, (2, 4): 7, (3, 4): 4}"
168,Graph with 5 nodes and 6 edges,"[[0, 0, 1, 1, 1], [0, 0, 0, 0, 1], [1, 0, 0, 1, 1], [1, 0, 1, 0, 0], [1, 1, 1, 0, 0]]",2.0,7.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 7, (1, 4): 2, (2, 3): 15, (2, 4): 14}"
277,Graph with 5 nodes and 7 edges,"[[0, 0, 1, 1, 1], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [1, 1, 0, 0, 1], [1, 1, 1, 1, 0]]",2.0,8.0,Y,"{(0, 2): 1, (0, 3): 17, (0, 4): 8, (1, 3): 9, (1, 4): 1, (2, 4): 1, (3, 4): 8}"
103,Graph with 5 nodes and 7 edges,"[[0, 0, 0, 1, 1], [0, 0, 0, 1, 1], [0, 0, 0, 1, 1], [1, 1, 1, 0, 1], [1, 1, 1, 1, 0]]",4.0,8.0,Y,"{(0, 3): 1, (0, 4): 3, (1, 3): 27, (1, 4): 1, (2, 3): 2, (2, 4): 10, (3, 4): 6}"
150,Graph with 5 nodes and 6 edges,"[[0, 0, 1, 0, 1], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [0, 1, 0, 0, 1], [1, 1, 1, 1, 0]]",3.0,7.0,Y,"{(0, 2): 1, (0, 4): 2, (1, 3): 10, (1, 4): 6, (2, 4): 9, (3, 4): 13}"
29,Graph with 5 nodes and 5 edges,"[[0, 0, 0, 1, 1], [0, 0, 0, 1, 0], [0, 0, 0, 0, 1], [1, 1, 0, 0, 1], [1, 0, 1, 1, 0]]",2.0,6.0,Y,"{(0, 3): 1, (0, 4): 1, (1, 3): 8, (2, 4): 20, (3, 4): 5}"
206,Graph with 5 nodes and 7 edges,"[[0, 0, 1, 1, 1], [0, 0, 0, 0, 1], [1, 0, 0, 1, 1], [1, 0, 1, 0, 1], [1, 1, 1, 1, 0]]",3.0,9.0,Y,"{(0, 2): 20, (0, 3): 11, (0, 4): 7, (1, 4): 3, (2, 3): 8, (2, 4): 1, (3, 4): 1}"
41,Graph with 5 nodes and 5 edges,"[[0, 0, 0, 1, 1], [0, 0, 0, 1, 0], [0, 0, 0, 0, 1], [1, 1, 0, 0, 1], [1, 0, 1, 1, 0]]",4.0,2.0,Y,"{(0, 3): 2, (0, 4): 2, (1, 3): 6, (2, 4): 8, (3, 4): 2}"
246,Graph with 5 nodes and 6 edges,"[[0, 0, 1, 1, 1], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [1, 1, 0, 0, 0], [1, 1, 1, 0, 0]]",2.0,4.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 8, (1, 3): 5, (1, 4): 9, (2, 4): 1}"
208,Graph with 5 nodes and 7 edges,"[[0, 0, 1, 1, 1], [0, 0, 0, 0, 1], [1, 0, 0, 1, 1], [1, 0, 1, 0, 1], [1, 1, 1, 1, 0]]",4.0,2.0,Y,"{(0, 2): 6, (0, 3): 1, (0, 4): 3, (1, 4): 4, (2, 3): 1, (2, 4): 1, (3, 4): 4}"
302,Graph with 5 nodes and 8 edges,"[[0, 0, 1, 1, 1], [0, 0, 0, 1, 1], [1, 0, 0, 1, 1], [1, 1, 1, 0, 1], [1, 1, 1, 1, 0]]",2.0,6.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 6, (1, 3): 1, (1, 4): 1, (2, 3): 12, (2, 4): 1, (3, 4): 12}"
273,Graph with 5 nodes and 7 edges,"[[0, 0, 1, 1, 1], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [1, 1, 0, 0, 1], [1, 1, 1, 1, 0]]",2.0,4.0,Y,"{(0, 2): 1, (0, 3): 9, (0, 4): 4, (1, 3): 5, (1, 4): 1, (2, 4): 1, (3, 4): 4}"
283,Graph with 5 nodes and 7 edges,"[[0, 0, 1, 1, 1], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [1, 1, 0, 0, 1], [1, 1, 1, 1, 0]]",3.0,5.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 3): 7, (1, 4): 5, (2, 4): 7, (3, 4): 9}"
104,Graph with 5 nodes and 7 edges,"[[0, 0, 0, 1, 1], [0, 0, 0, 1, 1], [0, 0, 0, 1, 1], [1, 1, 1, 0, 1], [1, 1, 1, 1, 0]]",4.0,9.0,Y,"{(0, 3): 1, (0, 4): 3, (1, 3): 30, (1, 4): 1, (2, 3): 2, (2, 4): 11, (3, 4): 7}"
134,Graph with 5 nodes and 5 edges,"[[0, 0, 1, 0, 1], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [0, 1, 0, 0, 0], [1, 1, 1, 0, 0]]",4.0,9.0,Y,"{(0, 2): 2, (0, 4): 2, (1, 3): 31, (1, 4): 9, (2, 4): 11}"
56,Graph with 5 nodes and 6 edges,"[[0, 0, 0, 1, 1], [0, 0, 0, 1, 1], [0, 0, 0, 0, 1], [1, 1, 0, 0, 1], [1, 1, 1, 1, 0]]",2.0,5.0,Y,"{(0, 3): 2, (0, 4): 5, (1, 3): 11, (1, 4): 1, (2, 4): 2, (3, 4): 9}"
50,Graph with 5 nodes and 5 edges,"[[0, 0, 0, 1, 1], [0, 0, 0, 1, 1], [0, 0, 0, 0, 1], [1, 1, 0, 0, 0], [1, 1, 1, 0, 0]]",4.0,1.0,Y,"{(0, 3): 3, (0, 4): 1, (1, 3): 4, (1, 4): 1, (2, 4): 6}"
306,Graph with 5 nodes and 8 edges,"[[0, 0, 1, 1, 1], [0, 0, 0, 1, 1], [1, 0, 0, 1, 1], [1, 1, 1, 0, 1], [1, 1, 1, 1, 0]]",3.0,1.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 3): 3, (1, 4): 1, (2, 3): 1, (2, 4): 2, (3, 4): 1}"
223,Graph with 5 nodes and 5 edges,"[[0, 0, 1, 1, 0], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [1, 1, 0, 0, 0], [0, 1, 1, 0, 0]]",2.0,8.0,Y,"{(0, 2): 17, (0, 3): 9, (1, 3): 1, (1, 4): 1, (2, 4): 17}"
173,Graph with 5 nodes and 6 edges,"[[0, 0, 1, 1, 1], [0, 0, 0, 0, 1], [1, 0, 0, 1, 1], [1, 0, 1, 0, 0], [1, 1, 1, 0, 0]]",3.0,3.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 6, (1, 4): 3, (2, 3): 5, (2, 4): 5}"
250,Graph with 5 nodes and 6 edges,"[[0, 0, 1, 1, 1], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [1, 1, 0, 0, 0], [1, 1, 1, 0, 0]]",2.0,8.0,Y,"{(0, 2): 1, (0, 3): 9, (0, 4): 8, (1, 3): 1, (1, 4): 1, (2, 4): 25}"
355,Graph with 5 nodes and 8 edges,"[[0, 0, 1, 1, 1], [0, 0, 1, 1, 1], [1, 1, 0, 0, 1], [1, 1, 0, 0, 1], [1, 1, 1, 1, 0]]",3.0,5.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 2): 16, (1, 3): 1, (1, 4): 5, (2, 4): 1, (3, 4): 5}"
152,Graph with 5 nodes and 6 edges,"[[0, 0, 1, 0, 1], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [0, 1, 0, 0, 1], [1, 1, 1, 1, 0]]",3.0,9.0,Y,"{(0, 2): 1, (0, 4): 2, (1, 3): 12, (1, 4): 8, (2, 4): 11, (3, 4): 17}"
391,Graph with 5 nodes and 10 edges,"[[0, 1, 1, 1, 1], [1, 0, 1, 1, 1], [1, 1, 0, 1, 1], [1, 1, 1, 0, 1], [1, 1, 1, 1, 0]]",4.0,5.0,Y,"{(0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 2): 11, (1, 3): 1, (1, 4): 11, (2, 3): 6, (2, 4): 1, (3, 4): 1}"
121,Graph with 5 nodes and 5 edges,"[[0, 0, 1, 0, 1], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [0, 1, 0, 0, 0], [1, 1, 1, 0, 0]]",3.0,5.0,Y,"{(0, 2): 1, (0, 4): 1, (1, 3): 18, (1, 4): 5, (2, 4): 6}"
187,Graph with 5 nodes and 6 edges,"[[0, 0, 1, 1, 1], [0, 0, 0, 0, 1], [1, 0, 0, 1, 1], [1, 0, 1, 0, 0], [1, 1, 1, 0, 0]]",4.0,8.0,Y,"{(0, 2): 2, (0, 3): 1, (0, 4): 1, (1, 4): 28, (2, 3): 11, (2, 4): 7}"
97,Graph with 5 nodes and 7 edges,"[[0, 0, 0, 1, 1], [0, 0, 0, 1, 1], [0, 0, 0, 1, 1], [1, 1, 1, 0, 1], [1, 1, 1, 1, 0]]",4.0,2.0,Y,"{(0, 3): 2, (0, 4): 6, (1, 3): 3, (1, 4): 1, (2, 3): 5, (2, 4): 1, (3, 4): 2}"
301,Graph with 5 nodes and 8 edges,"[[0, 0, 1, 1, 1], [0, 0, 0, 1, 1], [1, 0, 0, 1, 1], [1, 1, 1, 0, 1], [1, 1, 1, 1, 0]]",2.0,5.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 5, (1, 3): 1, (1, 4): 1, (2, 3): 10, (2, 4): 1, (3, 4): 10}"
219,Graph with 5 nodes and 5 edges,"[[0, 0, 1, 1, 0], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [1, 1, 0, 0, 0], [0, 1, 1, 0, 0]]",2.0,4.0,Y,"{(0, 2): 5, (0, 3): 13, (1, 3): 1, (1, 4): 1, (2, 4): 5}"
349,Graph with 5 nodes and 7 edges,"[[0, 0, 1, 1, 1], [0, 0, 1, 1, 1], [1, 1, 0, 0, 1], [1, 1, 0, 0, 0], [1, 1, 1, 0, 0]]",4.0,8.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 18, (1, 2): 1, (1, 3): 11, (1, 4): 16, (2, 4): 2}"
66,Graph with 5 nodes and 6 edges,"[[0, 0, 0, 1, 1], [0, 0, 0, 1, 1], [0, 0, 0, 0, 1], [1, 1, 0, 0, 1], [1, 1, 1, 1, 0]]",3.0,7.0,Y,"{(0, 3): 10, (0, 4): 13, (1, 3): 1, (1, 4): 9, (2, 4): 3, (3, 4): 5}"
