,Graph,Adjacency_list,a,d,APG_label_availability,Edge weights
682,Graph with 6 nodes and 9 edges,"[[0, 0, 1, 0, 1, 1], [0, 0, 0, 1, 0, 1], [1, 0, 0, 0, 1, 1], [0, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",2.0,8.0,Y,"{(0, 2): 27, (0, 4): 14, (0, 5): 1, (1, 3): 1, (1, 5): 1, (2, 4): 6, (2, 5): 1, (3, 5): 9, (4, 5): 6}"
243,Graph with 6 nodes and 8 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 1, 1], [1, 1, 0, 1, 0, 1], [1, 0, 1, 1, 1, 0]]",3.0,1.0,Y,"{(0, 3): 3, (0, 4): 1, (0, 5): 1, (1, 4): 4, (2, 5): 3, (3, 4): 1, (3, 5): 1, (4, 5): 1}"
1003,Graph with 6 nodes and 11 edges,"[[0, 0, 1, 1, 1, 1], [0, 0, 1, 1, 1, 1], [1, 1, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0], [1, 1, 1, 0, 0, 1], [1, 1, 1, 0, 1, 0]]",3.0,6.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 1, (0, 5): 6, (1, 2): 15, (1, 3): 2, (1, 4): 12, (1, 5): 4, (2, 4): 1, (2, 5): 10, (4, 5): 1}"
270,Graph with 6 nodes and 8 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0]]",3.0,1.0,Y,"{(0, 3): 2, (0, 4): 1, (0, 5): 1, (1, 4): 1, (1, 5): 1, (2, 4): 4, (3, 5): 3, (4, 5): 1}"
544,Graph with 6 nodes and 10 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 1, 1], [1, 1, 0, 1, 0, 1], [1, 1, 1, 1, 1, 0]]",3.0,5.0,Y,"{(0, 3): 1, (0, 4): 1, (0, 5): 11, (1, 3): 1, (1, 4): 1, (1, 5): 6, (2, 5): 3, (3, 4): 14, (3, 5): 1, (4, 5): 6}"
898,Graph with 6 nodes and 10 edges,"[[0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1], [1, 0, 0, 1, 1, 1], [1, 0, 1, 0, 0, 1], [1, 1, 1, 0, 0, 0], [1, 1, 1, 1, 0, 0]]",3.0,8.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 8, (0, 5): 1, (1, 4): 2, (1, 5): 1, (2, 3): 21, (2, 4): 17, (2, 5): 4, (3, 5): 13}"
556,Graph with 6 nodes and 10 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 1, 1], [1, 1, 0, 1, 0, 1], [1, 1, 1, 1, 1, 0]]",4.0,8.0,Y,"{(0, 3): 1, (0, 4): 1, (0, 5): 2, (1, 3): 9, (1, 4): 16, (1, 5): 3, (2, 5): 36, (3, 4): 1, (3, 5): 1, (4, 5): 2}"
147,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 1, 1], [1, 0, 0, 1, 0, 0], [1, 1, 1, 1, 0, 0]]",4.0,4.0,Y,"{(0, 3): 10, (0, 4): 11, (0, 5): 3, (1, 5): 4, (2, 5): 8, (3, 4): 1, (3, 5): 5}"
337,Graph with 6 nodes and 9 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",4.0,5.0,Y,"{(0, 3): 7, (0, 4): 1, (0, 5): 1, (1, 4): 11, (1, 5): 12, (2, 4): 1, (2, 5): 3, (3, 5): 7, (4, 5): 5}"
733,Graph with 6 nodes and 9 edges,"[[0, 0, 1, 0, 1, 1], [0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 1, 0], [0, 1, 0, 0, 0, 1], [1, 1, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0]]",2.0,5.0,Y,"{(0, 2): 1, (0, 4): 3, (0, 5): 2, (1, 3): 21, (1, 4): 5, (1, 5): 1, (2, 4): 1, (3, 5): 1, (4, 5): 7}"
432,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 0], [1, 0, 1, 1, 0, 0]]",3.0,1.0,Y,"{(0, 3): 3, (0, 4): 2, (0, 5): 1, (1, 3): 3, (2, 4): 4, (2, 5): 1, (3, 5): 1}"
604,Graph with 6 nodes and 10 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 0], [1, 1, 1, 0, 0, 1], [1, 1, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0]]",4.0,2.0,Y,"{(0, 3): 1, (0, 4): 1, (0, 5): 2, (1, 3): 6, (1, 4): 1, (1, 5): 7, (2, 3): 2, (2, 4): 4, (3, 5): 1, (4, 5): 2}"
58,Graph with 6 nodes and 6 edges,"[[0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0], [1, 1, 1, 1, 0, 0]]",2.0,9.0,Y,"{(0, 3): 33, (0, 5): 13, (1, 4): 11, (1, 5): 9, (2, 5): 2, (3, 5): 4}"
427,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 0], [1, 0, 1, 1, 0, 0]]",2.0,5.0,Y,"{(0, 3): 2, (0, 4): 1, (0, 5): 3, (1, 3): 2, (2, 4): 21, (2, 5): 6, (3, 5): 7}"
489,Graph with 6 nodes and 8 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 0], [1, 1, 1, 1, 0, 0]]",3.0,4.0,Y,"{(0, 3): 1, (0, 4): 1, (0, 5): 9, (1, 3): 12, (1, 5): 3, (2, 4): 2, (2, 5): 5, (3, 5): 6}"
471,Graph with 6 nodes and 8 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0]]",4.0,4.0,Y,"{(0, 3): 8, (0, 4): 3, (0, 5): 1, (1, 3): 3, (1, 5): 1, (2, 4): 20, (3, 5): 5, (4, 5): 1}"
626,Graph with 6 nodes and 10 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [1, 1, 1, 0, 0, 1], [1, 1, 1, 0, 0, 0], [1, 1, 1, 1, 0, 0]]",4.0,6.0,Y,"{(0, 3): 1, (0, 4): 2, (0, 5): 7, (1, 3): 1, (1, 4): 1, (1, 5): 14, (2, 3): 17, (2, 4): 1, (2, 5): 4, (3, 5): 9}"
717,Graph with 6 nodes and 8 edges,"[[0, 0, 1, 0, 1, 1], [0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 1, 0], [0, 1, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0], [1, 1, 0, 1, 0, 0]]",3.0,7.0,Y,"{(0, 2): 1, (0, 4): 1, (0, 5): 1, (1, 3): 12, (1, 4): 7, (1, 5): 18, (2, 4): 9, (3, 5): 11}"
978,Graph with 6 nodes and 13 edges,"[[0, 0, 1, 1, 1, 1], [0, 0, 0, 1, 1, 1], [1, 0, 0, 1, 1, 1], [1, 1, 1, 0, 1, 1], [1, 1, 1, 1, 0, 1], [1, 1, 1, 1, 1, 0]]",3.0,7.0,Y,"{(0, 2): 7, (0, 3): 1, (0, 4): 1, (0, 5): 1, (1, 3): 1, (1, 4): 1, (1, 5): 1, (2, 3): 12, (2, 4): 13, (2, 5): 5, (3, 4): 1, (3, 5): 15, (4, 5): 1}"
307,Graph with 6 nodes and 8 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 0], [1, 1, 1, 0, 0, 1], [1, 1, 1, 0, 1, 0]]",4.0,2.0,Y,"{(0, 3): 12, (0, 4): 1, (0, 5): 1, (1, 4): 1, (1, 5): 7, (2, 4): 3, (2, 5): 1, (4, 5): 1}"
185,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1], [1, 1, 1, 0, 1, 0]]",2.0,6.0,Y,"{(0, 3): 8, (0, 4): 16, (0, 5): 8, (1, 4): 1, (1, 5): 1, (2, 5): 14, (4, 5): 3}"
371,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 1, 0], [0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1], [0, 1, 0, 1, 1, 0]]",2.0,3.0,Y,"{(0, 3): 1, (0, 4): 1, (1, 3): 1, (1, 5): 3, (2, 4): 8, (3, 5): 11, (4, 5): 2}"
109,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 1], [0, 1, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0]]",2.0,9.0,Y,"{(0, 3): 5, (0, 5): 5, (1, 4): 1, (1, 5): 1, (2, 4): 29, (3, 5): 14, (4, 5): 17}"
925,Graph with 6 nodes and 8 edges,"[[0, 0, 1, 1, 0, 1], [0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 1], [0, 1, 1, 0, 0, 0], [1, 1, 0, 1, 0, 0]]",3.0,8.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 5): 1, (1, 3): 13, (1, 4): 9, (1, 5): 21, (2, 4): 10, (3, 5): 13}"
506,Graph with 6 nodes and 9 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",2.0,3.0,Y,"{(0, 3): 5, (0, 4): 1, (0, 5): 1, (1, 3): 4, (1, 5): 1, (2, 4): 1, (2, 5): 1, (3, 5): 1, (4, 5): 12}"
847,Graph with 6 nodes and 10 edges,"[[0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 1, 1, 1], [1, 0, 1, 0, 1, 1], [1, 0, 1, 1, 0, 0], [1, 1, 1, 1, 0, 0]]",4.0,2.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 1, (0, 5): 1, (1, 5): 10, (2, 3): 5, (2, 4): 1, (2, 5): 1, (3, 4): 4, (3, 5): 2}"
828,Graph with 6 nodes and 10 edges,"[[0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 1, 1, 1], [1, 0, 1, 0, 1, 1], [1, 0, 1, 1, 0, 0], [1, 1, 1, 1, 0, 0]]",2.0,1.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 1, (0, 5): 1, (1, 5): 2, (2, 3): 1, (2, 4): 1, (2, 5): 2, (3, 4): 1, (3, 5): 1}"
450,Graph with 6 nodes and 8 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0]]",2.0,1.0,Y,"{(0, 3): 1, (0, 4): 2, (0, 5): 1, (1, 3): 1, (1, 5): 1, (2, 4): 3, (3, 5): 2, (4, 5): 1}"
26,Graph with 6 nodes and 8 edges,"[[0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [1, 1, 1, 1, 0, 0], [1, 1, 1, 1, 0, 0]]",3.0,2.0,Y,"{(0, 4): 1, (0, 5): 8, (1, 4): 4, (1, 5): 1, (2, 4): 2, (2, 5): 1, (3, 4): 6, (3, 5): 1}"
401,Graph with 6 nodes and 8 edges,"[[0, 0, 0, 1, 1, 0], [0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1], [0, 1, 1, 1, 1, 0]]",2.0,6.0,Y,"{(0, 3): 1, (0, 4): 1, (1, 3): 23, (1, 5): 9, (2, 4): 6, (2, 5): 8, (3, 5): 2, (4, 5): 1}"
437,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 0], [1, 0, 1, 1, 0, 0]]",3.0,6.0,Y,"{(0, 3): 3, (0, 4): 25, (0, 5): 5, (1, 3): 15, (2, 4): 2, (2, 5): 1, (3, 5): 3}"
388,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 1, 0], [0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1], [0, 1, 0, 1, 1, 0]]",4.0,2.0,Y,"{(0, 3): 1, (0, 4): 3, (1, 3): 3, (1, 5): 5, (2, 4): 6, (3, 5): 8, (4, 5): 1}"
722,Graph with 6 nodes and 8 edges,"[[0, 0, 1, 0, 1, 1], [0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 1, 0], [0, 1, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0], [1, 1, 0, 1, 0, 0]]",4.0,3.0,Y,"{(0, 2): 1, (0, 4): 2, (0, 5): 1, (1, 3): 7, (1, 4): 2, (1, 5): 9, (2, 4): 6, (3, 5): 5}"
866,Graph with 6 nodes and 10 edges,"[[0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1], [1, 0, 0, 1, 1, 1], [1, 0, 1, 0, 0, 0], [1, 1, 1, 0, 0, 1], [1, 1, 1, 0, 1, 0]]",3.0,3.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 3, (0, 5): 1, (1, 4): 2, (1, 5): 1, (2, 3): 11, (2, 4): 4, (2, 5): 1, (4, 5): 5}"
271,Graph with 6 nodes and 8 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0]]",3.0,2.0,Y,"{(0, 3): 8, (0, 4): 1, (0, 5): 4, (1, 4): 1, (1, 5): 4, (2, 4): 3, (3, 5): 1, (4, 5): 2}"
769,Graph with 6 nodes and 9 edges,"[[0, 0, 1, 0, 1, 1], [0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 1, 1], [0, 1, 0, 0, 0, 0], [1, 1, 1, 0, 0, 1], [1, 1, 1, 0, 1, 0]]",3.0,5.0,Y,"{(0, 2): 1, (0, 4): 1, (0, 5): 6, (1, 3): 13, (1, 4): 12, (1, 5): 2, (2, 4): 1, (2, 5): 1, (4, 5): 8}"
167,Graph with 6 nodes and 6 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 1, 0]]",3.0,6.0,Y,"{(0, 3): 3, (0, 4): 3, (0, 5): 3, (1, 4): 15, (2, 5): 27, (4, 5): 3}"
824,Graph with 6 nodes and 10 edges,"[[0, 0, 1, 0, 1, 1], [0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 1, 1], [0, 1, 0, 0, 1, 1], [1, 1, 1, 1, 0, 0], [1, 1, 1, 1, 0, 0]]",4.0,6.0,Y,"{(0, 2): 5, (0, 4): 4, (0, 5): 1, (1, 3): 14, (1, 4): 1, (1, 5): 1, (2, 4): 16, (2, 5): 1, (3, 4): 13, (3, 5): 1}"
564,Graph with 6 nodes and 9 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0], [1, 1, 1, 1, 0, 0]]",2.0,7.0,Y,"{(0, 3): 1, (0, 4): 7, (0, 5): 1, (1, 3): 18, (1, 4): 8, (1, 5): 10, (2, 4): 1, (2, 5): 1, (3, 5): 10}"
775,Graph with 6 nodes and 9 edges,"[[0, 0, 1, 0, 1, 1], [0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 1, 1], [0, 1, 0, 0, 0, 0], [1, 1, 1, 0, 0, 1], [1, 1, 1, 0, 1, 0]]",4.0,2.0,Y,"{(0, 2): 1, (0, 4): 2, (0, 5): 1, (1, 3): 10, (1, 4): 3, (1, 5): 1, (2, 4): 5, (2, 5): 2, (4, 5): 2}"
507,Graph with 6 nodes and 9 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",2.0,4.0,Y,"{(0, 3): 4, (0, 4): 1, (0, 5): 1, (1, 3): 1, (1, 5): 1, (2, 4): 12, (2, 5): 10, (3, 5): 5, (4, 5): 1}"
786,Graph with 6 nodes and 10 edges,"[[0, 0, 1, 0, 1, 1], [0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 1, 1], [0, 1, 0, 0, 0, 1], [1, 1, 1, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",2.0,4.0,Y,"{(0, 2): 4, (0, 4): 1, (0, 5): 1, (1, 3): 1, (1, 4): 15, (1, 5): 6, (2, 4): 1, (2, 5): 5, (3, 5): 1, (4, 5): 1}"
617,Graph with 6 nodes and 10 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [1, 1, 1, 0, 0, 1], [1, 1, 1, 0, 0, 0], [1, 1, 1, 1, 0, 0]]",3.0,6.0,Y,"{(0, 3): 14, (0, 4): 7, (0, 5): 12, (1, 3): 9, (1, 4): 1, (1, 5): 5, (2, 3): 1, (2, 4): 1, (2, 5): 1, (3, 5): 3}"
413,Graph with 6 nodes and 8 edges,"[[0, 0, 0, 1, 1, 0], [0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1], [0, 1, 1, 1, 1, 0]]",3.0,9.0,Y,"{(0, 3): 20, (0, 4): 1, (1, 3): 6, (1, 5): 23, (2, 4): 1, (2, 5): 11, (3, 5): 12, (4, 5): 1}"
568,Graph with 6 nodes and 9 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0], [1, 1, 1, 1, 0, 0]]",3.0,2.0,Y,"{(0, 3): 9, (0, 4): 3, (0, 5): 1, (1, 3): 1, (1, 4): 1, (1, 5): 5, (2, 4): 1, (2, 5): 2, (3, 5): 1}"
431,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 0], [1, 0, 1, 1, 0, 0]]",2.0,9.0,Y,"{(0, 3): 4, (0, 4): 1, (0, 5): 5, (1, 3): 2, (2, 4): 37, (2, 5): 10, (3, 5): 13}"
882,Graph with 6 nodes and 10 edges,"[[0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1], [1, 0, 0, 1, 1, 1], [1, 0, 1, 0, 0, 1], [1, 1, 1, 0, 0, 0], [1, 1, 1, 1, 0, 0]]",2.0,1.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 1, (0, 5): 1, (1, 4): 1, (1, 5): 1, (2, 3): 2, (2, 4): 1, (2, 5): 2, (3, 5): 1}"
98,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",4.0,7.0,Y,"{(0, 3): 24, (0, 5): 1, (1, 4): 1, (1, 5): 16, (2, 5): 11, (3, 5): 8, (4, 5): 2}"
123,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 1], [0, 1, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0]]",4.0,5.0,Y,"{(0, 3): 2, (0, 5): 1, (1, 4): 4, (1, 5): 10, (2, 4): 24, (3, 5): 6, (4, 5): 1}"
242,Graph with 6 nodes and 8 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 1, 1], [1, 1, 0, 1, 0, 1], [1, 0, 1, 1, 1, 0]]",2.0,9.0,Y,"{(0, 3): 7, (0, 4): 2, (0, 5): 1, (1, 4): 2, (2, 5): 38, (3, 4): 14, (3, 5): 7, (4, 5): 1}"
653,Graph with 6 nodes and 7 edges,"[[0, 0, 1, 0, 1, 1], [0, 0, 0, 1, 0, 1], [1, 0, 0, 0, 1, 1], [0, 1, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0], [1, 1, 1, 0, 0, 0]]",2.0,6.0,Y,"{(0, 2): 3, (0, 4): 1, (0, 5): 4, (1, 3): 26, (1, 5): 6, (2, 4): 1, (2, 5): 10}"
393,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 1, 0], [0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1], [0, 1, 0, 1, 1, 0]]",4.0,7.0,Y,"{(0, 3): 1, (0, 4): 31, (1, 3): 3, (1, 5): 7, (2, 4): 4, (3, 5): 13, (4, 5): 4}"
