,graph_num,graph,a,d,weights,runtime,optimal
11,60,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 1, 1], [1, 1, 1, 1, 0, 0], [1, 1, 1, 1, 0, 0]]",2.0,2.0,"{(0, 3): 1.0, (0, 4): 1.0, (0, 5): 2.0, (1, 4): 1.0, (1, 5): 1.0, (2, 4): 1.0, (2, 5): 5.0, (3, 4): 5.0, (3, 5): 4.0}",122594.99999993294,Y
12,70,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1], [1, 0, 0, 1, 1, 0]]",2.0,2.0,"{(0, 3): 1.0, (0, 4): 2.0, (0, 5): 1.0, (1, 3): 2.0, (2, 4): 6.0, (3, 5): 5.0, (4, 5): 4.0}",101874.00000006618,Y
13,88,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 1], [1, 1, 0, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",2.0,2.0,"{(0, 3): 1.0, (0, 4): 1.0, (0, 5): 2.0, (1, 3): 1.0, (1, 4): 6.0, (1, 5): 1.0, (2, 5): 2.0, (3, 5): 4.0, (4, 5): 3.0}",168621.0000000301,Y
14,91,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 1, 1], [1, 1, 0, 1, 0, 1], [1, 0, 1, 1, 1, 0]]",3.0,2.0,"{(0, 3): 1.0, (0, 4): 1.0, (0, 5): 1.0, (1, 3): 1.0, (1, 4): 4.0, (2, 5): 7.0, (3, 4): 4.0, (3, 5): 3.0, (4, 5): 2.0}",2140.0000000539876,Y
15,98,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0], [1, 1, 1, 0, 0, 1], [1, 1, 1, 0, 1, 0]]",2.0,2.0,"{(0, 3): 1.0, (0, 4): 2.0, (0, 5): 1.0, (1, 3): 1.0, (1, 4): 4.0, (1, 5): 1.0, (2, 4): 1.0, (2, 5): 7.0, (4, 5): 3.0}",161489.99999995794,Y
16,109,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [1, 1, 1, 0, 0, 1], [1, 1, 1, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",3.0,2.0,"{(0, 3): 1.0, (0, 4): 1.0, (0, 5): 1.0, (1, 3): 1.0, (1, 4): 2.0, (1, 5): 2.0, (2, 3): 1.0, (2, 4): 5.0, (2, 5): 1.0, (3, 5): 6.0, (4, 5): 3.0}",2423.9999999053907,Y
17,110,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [1, 1, 1, 0, 1, 1], [1, 1, 1, 1, 0, 1], [1, 1, 1, 1, 1, 0]]",3.0,2.0,"{(0, 3): 1.0, (0, 4): 1.0, (0, 5): 1.0, (1, 3): 1.0, (1, 4): 1.0, (1, 5): 3.0, (2, 3): 1.0, (2, 4): 1.0, (2, 5): 5.0, (3, 4): 5.0, (3, 5): 1.0, (4, 5): 3.0}",2418.9999999180145,Y
18,114,"[[0, 0, 1, 0, 1, 1], [0, 0, 0, 1, 0, 1], [1, 0, 0, 0, 1, 1], [0, 1, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0], [1, 1, 1, 0, 0, 0]]",3.0,2.0,"{(0, 2): 1.0, (0, 4): 1.0, (0, 5): 1.0, (1, 3): 5.0, (1, 5): 4.0, (2, 4): 6.0, (2, 5): 6.0}",57363.00000000938,Y
19,115,"[[0, 0, 1, 0, 1, 1], [0, 0, 0, 1, 0, 1], [1, 0, 0, 0, 1, 1], [0, 1, 0, 0, 0, 0], [1, 0, 1, 0, 0, 1], [1, 1, 1, 0, 1, 0]]",2.0,2.0,"{(0, 2): 2.0, (0, 4): 1.0, (0, 5): 1.0, (1, 3): 2.0, (1, 5): 4.0, (2, 4): 4.0, (2, 5): 2.0, (4, 5): 5.0}",147154.99999999793,Y
20,130,"[[0, 0, 1, 0, 1, 1], [0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 1, 1], [0, 1, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0], [1, 1, 1, 1, 0, 0]]",3.0,2.0,"{(0, 2): 1.0, (0, 4): 1.0, (0, 5): 1.0, (1, 3): 1.0, (1, 4): 3.0, (1, 5): 1.0, (2, 4): 5.0, (2, 5): 1.0, (3, 5): 10.0}",3954.0000000215514,Y
21,133,"[[0, 0, 1, 0, 1, 1], [0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 1, 1], [0, 1, 0, 0, 1, 1], [1, 1, 1, 1, 0, 0], [1, 1, 1, 1, 0, 0]]",3.0,2.0,"{(0, 2): 1.0, (0, 4): 1.0, (0, 5): 1.0, (1, 3): 1.0, (1, 4): 1.0, (1, 5): 3.0, (2, 4): 1.0, (2, 5): 5.0, (3, 4): 6.0, (3, 5): 4.0}",3800.0000000693035,Y
22,140,"[[0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1], [1, 0, 0, 1, 1, 1], [1, 0, 1, 0, 0, 0], [1, 1, 1, 0, 0, 1], [1, 1, 1, 0, 1, 0]]",3.0,2.0,"{(0, 2): 1.0, (0, 3): 1.0, (0, 4): 1.0, (0, 5): 2.0, (1, 4): 1.0, (1, 5): 2.0, (2, 3): 6.0, (2, 4): 1.0, (2, 5): 1.0, (4, 5): 8.0}",152849.99999994398,Y
23,148,"[[0, 0, 1, 1, 0, 1], [0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 1], [0, 1, 1, 0, 0, 0], [1, 1, 0, 1, 0, 0]]",3.0,2.0,"{(0, 2): 1.0, (0, 3): 1.0, (0, 5): 1.0, (1, 3): 2.0, (1, 4): 3.0, (1, 5): 4.0, (2, 4): 4.0, (3, 5): 8.0}",54989.999999975225,Y
24,149,"[[0, 0, 1, 1, 0, 1], [0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0], [1, 1, 1, 0, 0, 0]]",2.0,2.0,"{(0, 2): 1.0, (0, 3): 1.0, (0, 5): 2.0, (1, 3): 1.0, (1, 4): 1.0, (1, 5): 4.0, (2, 4): 7.0, (2, 5): 4.0}",163100.9999999833,Y
25,153,"[[0, 0, 1, 1, 0, 1], [0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1], [0, 1, 1, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",3.0,2.0,"{(0, 2): 1.0, (0, 3): 1.0, (0, 5): 1.0, (1, 3): 1.0, (1, 4): 3.0, (1, 5): 1.0, (2, 4): 5.0, (2, 5): 1.0, (3, 5): 7.0, (4, 5): 3.0}",2367.000000049302,Y
26,158,"[[0, 0, 1, 1, 1, 1], [0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1], [1, 1, 1, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",3.0,2.0,"{(0, 2): 1.0, (0, 3): 1.0, (0, 4): 2.0, (0, 5): 1.0, (1, 3): 1.0, (1, 4): 1.0, (1, 5): 1.0, (2, 4): 5.0, (2, 5): 1.0, (3, 5): 7.0, (4, 5): 3.0}",160978.00000000006,Y
27,161,"[[0, 0, 1, 1, 1, 1], [0, 0, 1, 1, 1, 0], [1, 1, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1], [1, 1, 1, 0, 0, 1], [1, 0, 1, 1, 1, 0]]",3.0,2.0,"{(0, 2): 1.0, (0, 3): 1.0, (0, 4): 2.0, (0, 5): 1.0, (1, 2): 1.0, (1, 3): 1.0, (1, 4): 1.0, (2, 4): 4.0, (2, 5): 1.0, (3, 5): 7.0, (4, 5): 4.0}",163719.0000000146,Y
28,164,"[[0, 0, 1, 1, 1, 1], [0, 0, 1, 1, 1, 1], [1, 1, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0], [1, 1, 1, 1, 0, 0]]",3.0,2.0,"{(0, 2): 2.0, (0, 3): 1.0, (0, 4): 1.0, (0, 5): 1.0, (1, 2): 4.0, (1, 3): 1.0, (1, 4): 1.0, (1, 5): 1.0, (2, 4): 1.0, (2, 5): 2.0, (3, 5): 9.0}",198404.99999997974,Y
29,165,"[[0, 0, 1, 1, 1, 1], [0, 0, 1, 1, 1, 1], [1, 1, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1], [1, 1, 1, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",3.0,2.0,"{(0, 2): 1.0, (0, 3): 1.0, (0, 4): 1.0, (0, 5): 2.0, (1, 2): 1.0, (1, 3): 1.0, (1, 4): 1.0, (1, 5): 4.0, (2, 4): 5.0, (2, 5): 2.0, (3, 5): 1.0, (4, 5): 4.0}",210954.99999989898,Y
