index,graph_index,Graph,Adjacency_list,a,d,APG_label_availability,Vertex_labels,Edge_labels,Gurobi_runtime
193,32.0,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 0], [1, 1, 1, 1, 0, 0]]",2.0,4.0,Y,"{0: 6, 1: 22, 2: 2, 3: 10, 4: 14, 5: 18}","{(0, 3): 4, (0, 4): 1, (0, 5): 1, (1, 4): 13, (1, 5): 9, (2, 5): 2, (3, 5): 6}",1133.0000000384643
195,32.0,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 0], [1, 1, 1, 1, 0, 0]]",2.0,6.0,Y,"{0: 8, 1: 32, 2: 2, 3: 14, 4: 20, 5: 26}","{(0, 3): 5, (0, 4): 1, (0, 5): 2, (1, 4): 19, (1, 5): 13, (2, 5): 2, (3, 5): 9}",1267.0000000412074
203,32.0,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 0], [1, 1, 1, 1, 0, 0]]",3.0,5.0,Y,"{0: 18, 1: 3, 2: 23, 3: 13, 4: 8, 5: 28}","{(0, 3): 10, (0, 4): 6, (0, 5): 1, (1, 4): 1, (1, 5): 1, (2, 5): 23, (3, 5): 2}",1780.9999999940374
216,32.0,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 0], [1, 1, 1, 1, 0, 0]]",4.0,9.0,Y,"{0: 31, 1: 4, 2: 40, 3: 22, 4: 13, 5: 49}","{(0, 3): 17, (0, 4): 12, (0, 5): 1, (1, 4): 1, (1, 5): 3, (2, 5): 40, (3, 5): 4}",1830.9999999814863
228,40.0,Graph with 6 nodes and 8 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 0], [1, 1, 1, 0, 0, 1], [1, 1, 1, 0, 1, 0]]",3.0,3.0,Y,"{0: 12, 1: 3, 2: 6, 3: 9, 4: 18, 5: 15}","{(0, 3): 9, (0, 4): 1, (0, 5): 2, (1, 4): 1, (1, 5): 1, (2, 4): 5, (2, 5): 1, (4, 5): 10}",1217.9999999943902
265,41.0,Graph with 6 nodes and 8 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0], [1, 1, 1, 1, 0, 0]]",4.0,4.0,Y,"{0: 24, 1: 4, 2: 8, 3: 20, 4: 12, 5: 16}","{(0, 3): 14, (0, 4): 2, (0, 5): 8, (1, 4): 3, (1, 5): 1, (2, 4): 7, (2, 5): 1, (3, 5): 6}",2579.999999966276
288,43.0,Graph with 6 nodes and 9 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 1, 1], [1, 1, 1, 1, 0, 0], [1, 1, 1, 1, 0, 0]]",3.0,9.0,Y,"{0: 48, 1: 21, 2: 3, 3: 39, 4: 30, 5: 12}","{(0, 3): 34, (0, 4): 4, (0, 5): 9, (1, 4): 20, (1, 5): 1, (2, 4): 2, (2, 5): 1, (3, 4): 3, (3, 5): 1}",1857.9999999701613
301,49.0,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1], [1, 0, 0, 1, 1, 0]]",2.0,4.0,Y,"{0: 22, 1: 2, 2: 6, 3: 10, 4: 18, 5: 14}","{(0, 3): 7, (0, 4): 7, (0, 5): 8, (1, 3): 2, (2, 4): 6, (3, 5): 1, (4, 5): 5}",1222.9999999817665
304,49.0,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1], [1, 0, 0, 1, 1, 0]]",2.0,7.0,Y,"{0: 37, 1: 2, 2: 9, 3: 16, 4: 30, 5: 23}","{(0, 3): 13, (0, 4): 11, (0, 5): 12, (1, 3): 2, (2, 4): 9, (3, 5): 1, (4, 5): 9}",1277.9999999565916
313,49.0,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1], [1, 0, 0, 1, 1, 0]]",3.0,7.0,Y,"{0: 10, 1: 17, 2: 3, 3: 24, 4: 31, 5: 38}","{(0, 3): 2, (0, 4): 1, (0, 5): 6, (1, 3): 17, (2, 4): 3, (3, 5): 4, (4, 5): 27}",2098.9999999869724
351,50.0,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 0], [1, 0, 1, 1, 0, 0]]",4.0,9.0,Y,"{0: 13, 1: 22, 2: 31, 3: 40, 4: 4, 5: 49}","{(0, 3): 4, (0, 4): 3, (0, 5): 5, (1, 3): 22, (2, 4): 1, (2, 5): 30, (3, 5): 13}",2812.00000000581
352,54.0,Graph with 6 nodes and 9 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",2.0,1.0,Y,"{0: 3, 1: 2, 2: 5, 3: 4, 4: 6, 5: 7}","{(0, 3): 1, (0, 4): 1, (0, 5): 1, (1, 3): 1, (1, 5): 1, (2, 4): 3, (2, 5): 1, (3, 5): 2, (4, 5): 1}",1639.0000000114924
362,54.0,Graph with 6 nodes and 9 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",3.0,2.0,Y,"{0: 5, 1: 11, 2: 3, 3: 9, 4: 7, 5: 13}","{(0, 3): 1, (0, 4): 1, (0, 5): 3, (1, 3): 7, (1, 5): 4, (2, 4): 2, (2, 5): 1, (3, 5): 1, (4, 5): 4}",1728.0000000141627
364,54.0,Graph with 6 nodes and 9 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",3.0,4.0,Y,"{0: 7, 1: 19, 2: 3, 3: 15, 4: 11, 5: 23}","{(0, 3): 1, (0, 4): 1, (0, 5): 5, (1, 3): 13, (1, 5): 6, (2, 4): 1, (2, 5): 2, (3, 5): 1, (4, 5): 9}",1158.0000000321888
384,59.0,Graph with 6 nodes and 8 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 1], [1, 1, 0, 0, 0, 0], [1, 1, 1, 1, 0, 0]]",2.0,6.0,Y,"{0: 32, 1: 14, 2: 2, 3: 26, 4: 8, 5: 20}","{(0, 3): 22, (0, 4): 1, (0, 5): 9, (1, 3): 1, (1, 4): 7, (1, 5): 6, (2, 5): 2, (3, 5): 3}",574.0000000287182
385,59.0,Graph with 6 nodes and 8 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 1], [1, 1, 0, 0, 0, 0], [1, 1, 1, 1, 0, 0]]",2.0,7.0,Y,"{0: 9, 1: 37, 2: 2, 3: 30, 4: 23, 5: 16}","{(0, 3): 1, (0, 4): 7, (0, 5): 1, (1, 3): 18, (1, 4): 16, (1, 5): 2, (2, 5): 2, (3, 5): 10}",1330.9999999933098
388,59.0,Graph with 6 nodes and 8 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 1], [1, 1, 0, 0, 0, 0], [1, 1, 1, 1, 0, 0]]",3.0,1.0,Y,"{0: 7, 1: 4, 2: 3, 3: 6, 4: 5, 5: 8}","{(0, 3): 2, (0, 4): 4, (0, 5): 1, (1, 3): 1, (1, 4): 1, (1, 5): 1, (2, 5): 3, (3, 5): 2}",4915.9999999801585
398,59.0,Graph with 6 nodes and 8 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 1], [1, 1, 0, 0, 0, 0], [1, 1, 1, 1, 0, 0]]",4.0,2.0,Y,"{0: 4, 1: 12, 2: 10, 3: 6, 4: 8, 5: 14}","{(0, 3): 1, (0, 4): 1, (0, 5): 2, (1, 3): 4, (1, 4): 7, (1, 5): 1, (2, 5): 10, (3, 5): 1}",1176.9999999842184
402,59.0,Graph with 6 nodes and 8 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 1], [1, 1, 0, 0, 0, 0], [1, 1, 1, 1, 0, 0]]",4.0,6.0,Y,"{0: 34, 1: 16, 2: 4, 3: 28, 4: 22, 5: 10}","{(0, 3): 24, (0, 4): 9, (0, 5): 1, (1, 3): 1, (1, 4): 13, (1, 5): 2, (2, 5): 4, (3, 5): 3}",416.0000000297259
429,60.0,Graph with 6 nodes and 9 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 1], [1, 1, 0, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",4.0,6.0,Y,"{0: 34, 1: 16, 2: 4, 3: 28, 4: 10, 5: 22}","{(0, 3): 26, (0, 4): 7, (0, 5): 1, (1, 3): 1, (1, 4): 1, (1, 5): 14, (2, 5): 4, (3, 5): 1, (4, 5): 2}",381.0000000044056
434,61.0,Graph with 6 nodes and 9 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 1, 1], [1, 1, 0, 1, 0, 1], [1, 0, 1, 1, 1, 0]]",2.0,2.0,Y,"{0: 10, 1: 2, 2: 4, 3: 6, 4: 8, 5: 12}","{(0, 3): 1, (0, 4): 5, (0, 5): 4, (1, 3): 1, (1, 4): 1, (2, 5): 4, (3, 4): 1, (3, 5): 3, (4, 5): 1}",1036.999999996624
445,61.0,Graph with 6 nodes and 9 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 1, 1], [1, 1, 0, 1, 0, 1], [1, 0, 1, 1, 1, 0]]",3.0,4.0,Y,"{0: 11, 1: 15, 2: 3, 3: 19, 4: 23, 5: 7}","{(0, 3): 5, (0, 4): 5, (0, 5): 1, (1, 3): 5, (1, 4): 10, (2, 5): 3, (3, 4): 7, (3, 5): 2, (4, 5): 1}",528.999999971802
446,61.0,Graph with 6 nodes and 9 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 1, 1], [1, 1, 0, 1, 0, 1], [1, 0, 1, 1, 1, 0]]",3.0,5.0,Y,"{0: 3, 1: 13, 2: 8, 3: 18, 4: 23, 5: 28}","{(0, 3): 1, (0, 4): 1, (0, 5): 1, (1, 3): 1, (1, 4): 12, (2, 5): 8, (3, 4): 3, (3, 5): 12, (4, 5): 6}",1013.99999999785
451,61.0,Graph with 6 nodes and 9 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 1, 1], [1, 1, 0, 1, 0, 1], [1, 0, 1, 1, 1, 0]]",4.0,1.0,Y,"{0: 4, 1: 7, 2: 5, 3: 8, 4: 6, 5: 9}","{(0, 3): 1, (0, 4): 1, (0, 5): 2, (1, 3): 4, (1, 4): 2, (2, 5): 5, (3, 4): 1, (3, 5): 1, (4, 5): 1}",917.0000000153777
470,64.0,Graph with 6 nodes and 8 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0], [1, 1, 0, 1, 0, 0]]",3.0,2.0,Y,"{0: 3, 1: 5, 2: 11, 3: 7, 4: 13, 5: 9}","{(0, 3): 1, (0, 4): 1, (0, 5): 1, (1, 3): 1, (1, 4): 1, (1, 5): 3, (2, 4): 11, (3, 5): 5}",451.9999999956781
471,64.0,Graph with 6 nodes and 8 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0], [1, 1, 0, 1, 0, 0]]",3.0,3.0,Y,"{0: 3, 1: 12, 2: 15, 3: 6, 4: 18, 5: 9}","{(0, 3): 1, (0, 4): 1, (0, 5): 1, (1, 3): 3, (1, 4): 2, (1, 5): 6, (2, 4): 15, (3, 5): 1}",1058.9999999979227
480,64.0,Graph with 6 nodes and 8 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0], [1, 1, 0, 1, 0, 0]]",4.0,3.0,Y,"{0: 4, 1: 13, 2: 16, 3: 7, 4: 19, 5: 10}","{(0, 3): 1, (0, 4): 1, (0, 5): 2, (1, 3): 4, (1, 4): 2, (1, 5): 6, (2, 4): 16, (3, 5): 1}",964.9999999510328
482,64.0,Graph with 6 nodes and 8 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0], [1, 1, 0, 1, 0, 0]]",4.0,5.0,Y,"{0: 4, 1: 19, 2: 24, 3: 9, 4: 29, 5: 14}","{(0, 3): 1, (0, 4): 2, (0, 5): 1, (1, 3): 5, (1, 4): 3, (1, 5): 10, (2, 4): 24, (3, 5): 2}",977.0000000344226
496,68.0,Graph with 6 nodes and 10 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1], [1, 1, 1, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",3.0,1.0,Y,"{0: 6, 1: 3, 2: 5, 3: 4, 4: 7, 5: 8}","{(0, 3): 1, (0, 4): 1, (0, 5): 3, (1, 3): 1, (1, 4): 1, (1, 5): 1, (2, 4): 4, (2, 5): 1, (3, 5): 1, (4, 5): 1}",2451.0000000077525
520,69.0,Graph with 6 nodes and 11 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 1, 1], [1, 1, 1, 1, 0, 1], [1, 1, 1, 1, 1, 0]]",2.0,7.0,Y,"{0: 9, 1: 37, 2: 2, 3: 30, 4: 16, 5: 23}","{(0, 3): 1, (0, 4): 1, (0, 5): 7, (1, 3): 27, (1, 4): 4, (1, 5): 5, (2, 4): 1, (2, 5): 1, (3, 4): 1, (3, 5): 1, (4, 5): 8}",1418.0000000010295
525,69.0,Graph with 6 nodes and 11 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 1, 1], [1, 1, 1, 1, 0, 1], [1, 1, 1, 1, 1, 0]]",3.0,3.0,Y,"{0: 9, 1: 3, 2: 6, 3: 12, 4: 18, 5: 15}","{(0, 3): 1, (0, 4): 7, (0, 5): 1, (1, 3): 1, (1, 4): 1, (1, 5): 1, (2, 4): 5, (2, 5): 1, (3, 4): 1, (3, 5): 8, (4, 5): 3}",1856.0000000320542
537,69.0,Graph with 6 nodes and 11 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 1, 1], [1, 1, 1, 1, 0, 1], [1, 1, 1, 1, 1, 0]]",4.0,6.0,Y,"{0: 34, 1: 16, 2: 4, 3: 28, 4: 10, 5: 22}","{(0, 3): 22, (0, 4): 3, (0, 5): 9, (1, 3): 4, (1, 4): 4, (1, 5): 8, (2, 4): 1, (2, 5): 3, (3, 4): 1, (3, 5): 1, (4, 5): 1}",407.99999999308056
539,69.0,Graph with 6 nodes and 11 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 1, 1], [1, 1, 1, 1, 0, 1], [1, 1, 1, 1, 1, 0]]",4.0,8.0,Y,"{0: 44, 1: 20, 2: 4, 3: 36, 4: 12, 5: 28}","{(0, 3): 30, (0, 4): 5, (0, 5): 9, (1, 3): 3, (1, 4): 1, (1, 5): 16, (2, 4): 3, (2, 5): 1, (3, 4): 2, (3, 5): 1, (4, 5): 1}",441.0000000234504
556,70.0,Graph with 6 nodes and 10 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 0], [1, 1, 1, 0, 0, 1], [1, 1, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0]]",3.0,7.0,Y,"{0: 3, 1: 38, 2: 17, 3: 31, 4: 10, 5: 24}","{(0, 3): 1, (0, 4): 1, (0, 5): 1, (1, 3): 17, (1, 4): 1, (1, 5): 19, (2, 3): 11, (2, 4): 5, (3, 5): 1, (4, 5): 2}",2271.0000000074615
561,70.0,Graph with 6 nodes and 10 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 0], [1, 1, 1, 0, 0, 1], [1, 1, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0]]",4.0,3.0,Y,"{0: 4, 1: 19, 2: 7, 3: 13, 4: 10, 5: 16}","{(0, 3): 1, (0, 4): 1, (0, 5): 2, (1, 3): 8, (1, 4): 1, (1, 5): 9, (2, 3): 2, (2, 4): 4, (3, 5): 1, (4, 5): 3}",1119.0000000169675
562,70.0,Graph with 6 nodes and 10 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 0], [1, 1, 1, 0, 0, 1], [1, 1, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0]]",4.0,4.0,Y,"{0: 24, 1: 12, 2: 4, 3: 16, 4: 8, 5: 20}","{(0, 3): 4, (0, 4): 3, (0, 5): 17, (1, 3): 10, (1, 4): 1, (1, 5): 1, (2, 3): 1, (2, 4): 3, (3, 5): 1, (4, 5): 1}",544.9999999882493
