index,Adjacency_list,a,d,APG_label_availability,Vertex_labels,Edge_labels,Gurobi_runtime/microseconds,Gurobi_num_vars,Gurobi_num_constrs,Gurobi_nonzero_coefs
10,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]",3.0,2.0,Y,"{0: 5, 1: 3, 2: 7, 3: 9}","{(0, 2): 3, (0, 3): 2, (1, 3): 3, (2, 3): 4}",197.88742065429688,4.0,4.0,8.0
11,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]",3.0,3.0,Y,"{0: 9, 1: 3, 2: 6, 3: 12}","{(0, 2): 3, (0, 3): 6, (1, 3): 3, (2, 3): 3}",213.14620971679688,4.0,4.0,8.0
12,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 0], [1, 1, 0, 0]]",2.0,1.0,Y,"{0: 4, 1: 3, 2: 2, 3: 5}","{(0, 2): 1, (0, 3): 3, (1, 2): 1, (1, 3): 2}",68.90296936035156,4.0,4.0,8.0
13,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 0], [1, 1, 0, 0]]",2.0,2.0,Y,"{0: 8, 1: 2, 2: 6, 3: 4}","{(0, 2): 5, (0, 3): 3, (1, 2): 1, (1, 3): 1}",120.87821960449219,4.0,4.0,8.0
14,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 0], [1, 1, 0, 0]]",2.0,3.0,Y,"{0: 5, 1: 8, 2: 11, 3: 2}","{(0, 2): 4, (0, 3): 1, (1, 2): 7, (1, 3): 1}",209.0930938720703,4.0,4.0,8.0
15,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 0], [1, 1, 0, 0]]",3.0,1.0,Y,"{0: 6, 1: 3, 2: 5, 3: 4}","{(0, 2): 3, (0, 3): 3, (1, 2): 2, (1, 3): 1}",287.05596923828125,4.0,4.0,8.0
16,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 0], [1, 1, 0, 0]]",3.0,2.0,Y,"{0: 3, 1: 9, 2: 7, 3: 5}","{(0, 2): 1, (0, 3): 2, (1, 2): 6, (1, 3): 3}",260.1146697998047,4.0,4.0,8.0
17,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 0], [1, 1, 0, 0]]",3.0,3.0,Y,"{0: 6, 1: 9, 2: 3, 3: 12}","{(0, 2): 1, (0, 3): 5, (1, 2): 2, (1, 3): 7}",72.95608520507812,4.0,4.0,8.0
18,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]",2.0,1.0,Y,"{0: 2, 1: 3, 2: 4, 3: 5}","{(0, 2): 1, (0, 3): 1, (1, 2): 1, (1, 3): 2, (2, 3): 2}",232.21969604492188,5.0,4.0,10.0
19,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]",2.0,2.0,Y,"{0: 6, 1: 2, 2: 4, 3: 8}","{(0, 2): 1, (0, 3): 5, (1, 2): 1, (1, 3): 1, (2, 3): 2}",248.90899658203125,5.0,4.0,10.0
20,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]",2.0,3.0,Y,"{0: 8, 1: 2, 2: 5, 3: 11}","{(0, 2): 1, (0, 3): 7, (1, 2): 1, (1, 3): 1, (2, 3): 3}",127.07710266113281,5.0,4.0,10.0
21,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]",3.0,1.0,Y,"{0: 3, 1: 5, 2: 6, 3: 4}","{(0, 2): 1, (0, 3): 2, (1, 2): 4, (1, 3): 1, (2, 3): 1}",174.04556274414062,5.0,4.0,10.0
22,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]",3.0,2.0,Y,"{0: 7, 1: 3, 2: 9, 3: 5}","{(0, 2): 5, (0, 3): 2, (1, 2): 2, (1, 3): 1, (2, 3): 2}",272.98927307128906,5.0,4.0,10.0
23,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]",3.0,3.0,Y,"{0: 9, 1: 3, 2: 6, 3: 12}","{(0, 2): 2, (0, 3): 7, (1, 2): 1, (1, 3): 2, (2, 3): 3}",247.00164794921875,5.0,4.0,10.0
24,"[[0, 1, 1, 1], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]",3.0,1.0,Y,"{0: 5, 1: 4, 2: 6, 3: 3}","{(0, 1): 1, (0, 2): 3, (0, 3): 1, (1, 2): 2, (1, 3): 1, (2, 3): 1}",80.108642578125,6.0,4.0,12.0
25,"[[0, 1, 1, 1], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]",3.0,2.0,Y,"{0: 7, 1: 9, 2: 5, 3: 3}","{(0, 1): 5, (0, 2): 1, (0, 3): 1, (1, 2): 3, (1, 3): 1, (2, 3): 1}",212.9077911376953,6.0,4.0,12.0
26,"[[0, 1, 1, 1], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]",3.0,3.0,Y,"{0: 6, 1: 12, 2: 9, 3: 3}","{(0, 1): 4, (0, 2): 1, (0, 3): 1, (1, 2): 7, (1, 3): 1, (2, 3): 1}",255.82313537597656,6.0,4.0,12.0
