index,Adjacency_list,a,d,APG_label_availability,Vertex_labels,Edge_labels,Gurobi_runtime/microseconds,Gurobi_num_vars,Gurobi_num_constrs,Gurobi_nonzero_coefs
14,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 0], [1, 1, 0, 0]]",2.0,3.0,Y,"{0: 5, 1: 8, 2: 11, 3: 2}","{(0, 2): 4, (0, 3): 1, (1, 2): 7, (1, 3): 1}",42.20008850097656,20.0,12.0,56.0
15,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 0], [1, 1, 0, 0]]",3.0,1.0,Y,"{0: 6, 1: 3, 2: 5, 3: 4}","{(0, 2): 3, (0, 3): 3, (1, 2): 2, (1, 3): 1}",437.02125549316406,20.0,12.0,56.0
16,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 0], [1, 1, 0, 0]]",3.0,2.0,Y,"{0: 3, 1: 9, 2: 7, 3: 5}","{(0, 2): 2, (0, 3): 1, (1, 2): 5, (1, 3): 4}",52.928924560546875,20.0,12.0,56.0
17,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 0], [1, 1, 0, 0]]",3.0,3.0,Y,"{0: 6, 1: 9, 2: 3, 3: 12}","{(0, 2): 2, (0, 3): 4, (1, 2): 1, (1, 3): 8}",58.88938903808594,20.0,12.0,56.0
18,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]",2.0,1.0,Y,"{0: 2, 1: 3, 2: 4, 3: 5}","{(0, 2): 1, (0, 3): 1, (1, 2): 1, (1, 3): 2, (2, 3): 2}",92.02957153320312,21.0,12.0,58.0
19,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]",2.0,2.0,Y,"{0: 6, 1: 2, 2: 4, 3: 8}","{(0, 2): 1, (0, 3): 5, (1, 2): 1, (1, 3): 1, (2, 3): 2}",22.88818359375,21.0,12.0,58.0
20,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]",2.0,3.0,Y,"{0: 8, 1: 2, 2: 5, 3: 11}","{(0, 2): 1, (0, 3): 7, (1, 2): 1, (1, 3): 1, (2, 3): 3}",25.033950805664062,21.0,12.0,58.0
21,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]",3.0,1.0,Y,"{0: 3, 1: 5, 2: 6, 3: 4}","{(0, 2): 1, (0, 3): 2, (1, 2): 4, (1, 3): 1, (2, 3): 1}",571.9661712646484,21.0,12.0,58.0
22,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]",3.0,2.0,Y,"{0: 7, 1: 3, 2: 9, 3: 5}","{(0, 2): 6, (0, 3): 1, (1, 2): 1, (1, 3): 2, (2, 3): 2}",49.114227294921875,21.0,12.0,58.0
23,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]",3.0,3.0,Y,"{0: 9, 1: 3, 2: 6, 3: 12}","{(0, 2): 1, (0, 3): 8, (1, 2): 2, (1, 3): 1, (2, 3): 3}",47.92213439941406,21.0,12.0,58.0
24,"[[0, 1, 1, 1], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]",3.0,1.0,Y,"{0: 5, 1: 4, 2: 6, 3: 3}","{(0, 1): 1, (0, 2): 3, (0, 3): 1, (1, 2): 2, (1, 3): 1, (2, 3): 1}",27.894973754882812,22.0,12.0,60.0
25,"[[0, 1, 1, 1], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]",3.0,2.0,Y,"{0: 7, 1: 9, 2: 5, 3: 3}","{(0, 1): 5, (0, 2): 1, (0, 3): 1, (1, 2): 3, (1, 3): 1, (2, 3): 1}",35.04753112792969,22.0,12.0,60.0
26,"[[0, 1, 1, 1], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]",3.0,3.0,Y,"{0: 6, 1: 12, 2: 9, 3: 3}","{(0, 1): 4, (0, 2): 1, (0, 3): 1, (1, 2): 7, (1, 3): 1, (2, 3): 1}",42.91534423828125,22.0,12.0,60.0
